,Unnamed: 0,Amount of AY.103 sequences (after selection),Total amount of sequences (after selection),Sequence IDs of  the AY.103 lineage selected,Total amount of sequences,Amount of AY.103 sequences,Amount of lineages,Reference set
0,0,1,886,EPI_ISL_10429407,2276980,291823,750,2021-01-01_till_2022-01-01
0,0,1,1150,EPI_ISL_10308078,2449517,292307,944,2020-06-01_till_2022-01-01
0,0,1,1228,EPI_ISL_10308078,2489406,292307,1005,2020-01-01_till_2022-01-01
0,0,1,525,EPI_ISL_10058627,1722055,291716,441,2021-06-01_till_2022-01-01
