,Unnamed: 0,Amount of BA.4 sequences (after selection),Total amount of sequences (after selection),Sequence IDs of  the BA.4 lineage selected,Total amount of sequences,Amount of BA.4 sequences,Amount of lineages,Reference set
0,0,2,298,"EPI_ISL_13010931, EPI_ISL_12896764",3351,32,250,2020-01-01_till_2022-06-08
0,0,2,172,"EPI_ISL_13010931, EPI_ISL_12896764",2927,32,132,2021-06-01_till_2022-06-08
0,0,2,111,"EPI_ISL_13010931, EPI_ISL_12896764",2666,32,88,2022-01-01_till_2022-06-08
0,0,2,212,"EPI_ISL_13010931, EPI_ISL_12896764",3069,32,168,2021-01-01_till_2022-06-08
0,0,2,22,"EPI_ISL_13273884, EPI_ISL_13306637",247,13,15,2022-06-01_till_2022-06-08
