,Unnamed: 0,Amount of AY.103 sequences (after selection),Total amount of sequences (after selection),Sequence IDs of  the AY.103 lineage selected,Total amount of sequences,Amount of AY.103 sequences,Amount of lineages,Reference set
0,0,1,1831,EPI_ISL_10829269,6950261,302858,1316,2021-01-01_till_2022-01-01
0,0,1,2401,EPI_ISL_10429433,7552581,303390,1633,2020-06-01_till_2022-01-01
0,0,1,2562,EPI_ISL_10429433,7703631,303390,1704,2020-01-01_till_2022-01-01
0,0,1,980,EPI_ISL_10058631,5116003,302736,757,2021-06-01_till_2022-01-01
