,Unnamed: 0,Amount of BA.4 sequences (after selection),Total amount of sequences (after selection),Sequence IDs of  the BA.4 lineage selected,Total amount of sequences,Amount of BA.4 sequences,Amount of lineages,Reference set
0,0,2,337,"EPI_ISL_12401144, EPI_ISL_12903550",2712,29,285,2020-01-01_till_2022-06-08
0,0,2,190,"EPI_ISL_12401144, EPI_ISL_12903550",2279,29,147,2021-06-01_till_2022-06-08
0,0,2,109,"EPI_ISL_12401144, EPI_ISL_12903550",2036,29,84,2022-01-01_till_2022-06-08
0,0,2,240,"EPI_ISL_12401144, EPI_ISL_12903550",2447,29,189,2021-01-01_till_2022-06-08
0,0,2,25,"EPI_ISL_13191427, EPI_ISL_13247127",175,18,17,2022-06-01_till_2022-06-08
