,Unnamed: 0,Amount of AY.103 sequences (after selection),Total amount of sequences (after selection),Sequence IDs of  the AY.103 lineage selected,Total amount of sequences,Amount of AY.103 sequences,Amount of lineages,Reference set
0,0,1,235,EPI_ISL_2960044,19761,2478,212,2021-01-01_till_2022-01-01
0,0,1,240,EPI_ISL_2960044,20065,2478,225,2020-06-01_till_2022-01-01
0,0,1,257,EPI_ISL_2960044,20473,2478,247,2020-01-01_till_2022-01-01
0,0,1,162,EPI_ISL_2960044,13501,2478,132,2021-06-01_till_2022-01-01
