,Unnamed: 0,Amount of BA.4 sequences (after selection),Total amount of sequences (after selection),Sequence IDs of  the BA.4 lineage selected,Total amount of sequences,Amount of BA.4 sequences,Amount of lineages,Reference set
0,0,3,309,"EPI_ISL_12340151, EPI_ISL_13010931, EPI_ISL_12903568",3178,23,270,2020-01-01_till_2022-06-08
0,0,3,174,"EPI_ISL_12340151, EPI_ISL_13010931, EPI_ISL_12903568",2728,23,143,2021-06-01_till_2022-06-08
0,0,3,117,"EPI_ISL_12340151, EPI_ISL_13010931, EPI_ISL_12903568",2502,23,93,2022-01-01_till_2022-06-08
0,0,3,211,"EPI_ISL_12340151, EPI_ISL_13010931, EPI_ISL_12903568",2866,23,177,2021-01-01_till_2022-06-08
0,0,3,30,"EPI_ISL_13178807, EPI_ISL_13159856, EPI_ISL_13202490",204,12,21,2022-06-01_till_2022-06-08
